# File Name: C:\Users\Valls-testedDX\Desktop\n61_16.11.21_Advance_miRNA_RT-PCR_Neurognos_Copy.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 3 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 272323343
# Instrument Serial Number: 272323343
# Heated Cover Serial Number:
# Block Serial Number: 19041571
# Run Start Date/Time: 2021-11-16 10:47:06 AM CLST
# Run End Date/Time: 2021-11-16 11:23:49 AM CLST
# Run Duration: 36 minutes 42 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-11-16 11:39:36 AM CLST
# Software Name and Version: Design & Analysis Software v2.5.1
# Plugin Name and Version: Primary Analysis v1.6.0, Standard Curve v1.5.1
# Exported On: 2021-12-15 10:48:38 AM CLST
"Well","Well Position","Cycle Number","X1_M1","X3_M3","X2_M2","X4_M4"
"14","B2","3","163859.52","17968.979","19860.031","195884.08"
"15","B3","3","161284.58","20726.8","17316.3","192496.08"
"16","B4","3","145564.9","20475.107","15165.911","183999.61"
"17","B5","3","143166.86","20085.518","13243.352","171751.12"
"18","B6","3","151001.6","21003.645","14135.586","178667.38"
"19","B7","3","-4114.7466","122.34344","336.02893","-255.08157"
"20","B8","3","-6058.265","148.89027","-305.6653","-509.63202"
"21","B9","3","2606.019","-718.45435","193.05373","-324.2236"
"22","B10","3","-8149.096","50.048527","-292.23187","-57.312386"
"23","B11","3","-4120.2944","-625.59015","127.59795","5.6754355"
"24","B12","3","-11501.228","-15.325654","446.11606","-620.3437"
"25","C1","3","163470.66","16846.807","21316.854","198748.78"
"26","C2","3","160252.81","18877.967","17905.338","193169.47"
"27","C3","3","158653.83","20289.018","16959.219","192557.94"
"28","C4","3","151517.38","21060.93","15059.689","183619.5"
"29","C5","3","155198.39","22469.193","13805.706","181846.64"
"30","C6","3","126995.76","18286.842","11503.948","147121.61"
"31","C7","3","-8282.006","-963.64606","263.7805","272.62634"
"32","C8","3","-8219.734","-399.74435","-435.42535","104.85944"
"33","C9","3","-6941.662","-86.68758","-57.141376","-43.960285"
"34","C10","3","-8595.726","-569.71155","-390.2969","-80.53956"
"35","C11","3","-10584.734","-726.0068","-388.63965","-1012.5183"
"36","C12","3","-9103.824","-477.25964","-708.2072","-461.19183"
"37","D1","3","160730.33","17611.041","20332.646","195661.05"
"38","D2","3","155656.0","18686.121","17533.19","186753.42"
"39","D3","3","159220.81","20975.637","16273.471","190186.64"
"40","D4","3","-7130.2275","-427.55664","-49.45802","391.69437"
"41","D5","3","-13274.09","-540.6425","-814.7234","-998.208"
"42","D6","3","-6313.253","-465.93118","-338.06604","90.54712"
"43","D7","3","-4595.3516","-498.18448","41.413647","4.4644794"
"44","D8","3","-7487.2935","-490.7124","-245.38007","-281.031"
"45","D9","3","-6354.3154","84.943016","-348.72363","-479.71204"
"46","D10","3","-7009.2007","268.25186","105.24252","156.55606"
