# File Name: C:\Users\Valls-testedDX\Desktop\n61_16.11.21_Advance_miRNA_RT-PCR_Neurognos_Copy.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 3 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 272323343
# Instrument Serial Number: 272323343
# Heated Cover Serial Number:
# Block Serial Number: 19041571
# Run Start Date/Time: 2021-11-16 10:47:06 AM CLST
# Run End Date/Time: 2021-11-16 11:23:49 AM CLST
# Run Duration: 36 minutes 42 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-11-16 11:39:36 AM CLST
# Software Name and Version: Design & Analysis Software v2.5.1
# Plugin Name and Version: Primary Analysis v1.6.0, Standard Curve v1.5.1
# Exported On: 2021-12-15 10:48:38 AM CLST
"Well","Well Position","Cycle Number","FAM","ROX"
"18","B6","13","154131.95","189873.0"
"18","B6","14","154474.44","189722.1"
"18","B6","15","154731.73","189735.9"
"18","B6","16","154555.38","189728.33"
"18","B6","17","154519.62","189888.27"
"18","B6","18","155063.39","189818.69"
"18","B6","19","154967.61","189671.72"
"18","B6","20","154873.48","189162.89"
"18","B6","21","155540.83","188895.19"
"18","B6","22","155529.72","188757.28"
"18","B6","23","155754.88","188675.95"
"18","B6","24","156115.92","188794.12"
"18","B6","25","155850.69","189014.94"
"18","B6","26","155615.33","189065.34"
"18","B6","27","155980.33","189374.34"
"18","B6","28","156260.52","189382.16"
"18","B6","29","156309.6","189386.4"
"18","B6","30","156735.61","189086.78"
"18","B6","31","157304.16","188937.98"
"18","B6","32","158469.83","188964.19"
"18","B6","33","160696.84","188919.06"
"18","B6","34","164753.95","189035.36"
"18","B6","35","171540.62","189147.75"
"18","B6","36","182844.66","189080.14"
"18","B6","37","198697.61","189101.06"
"18","B6","38","217970.05","189216.31"
"18","B6","39","239735.03","189214.72"
"18","B6","40","258583.61","189456.88"
"25","C1","1","149028.08","197269.02"
"25","C1","2","149182.67","197359.44"
"25","C1","3","150902.16","198613.56"
"25","C1","4","151728.1","200191.94"
"25","C1","5","152870.94","201264.67"
"25","C1","6","155459.67","201709.31"
"25","C1","7","156994.3","202264.89"
"25","C1","8","157452.52","202262.61"
"25","C1","9","157519.45","202386.36"
"25","C1","10","158776.45","202522.88"
"25","C1","11","160826.14","203103.95"
"25","C1","12","163783.86","203227.25"
"25","C1","13","169341.52","203323.56"
"25","C1","14","177032.14","203441.88"
"25","C1","15","187347.3","203992.5"
"25","C1","16","201314.23","203911.39"
"25","C1","17","217474.16","203810.64"
"25","C1","18","233681.19","203834.1"
"25","C1","19","249637.52","203743.2"
"25","C1","20","265513.84","203667.1"
"25","C1","21","280169.44","203967.17"
"25","C1","22","294229.97","204023.58"
"25","C1","23","306951.72","204142.53"
"25","C1","24","319259.3","204232.44"
"25","C1","25","331414.72","204141.78"
"25","C1","26","342306.2","204294.77"
"25","C1","27","351717.22","204986.6"
"25","C1","28","360914.62","204988.75"
"25","C1","29","370211.97","204712.61"
"25","C1","30","378719.38","204689.08"
"25","C1","31","385723.06","204990.39"
"25","C1","32","393005.44","204801.84"
"25","C1","33","400887.0","204544.39"
"25","C1","34","408076.53","204632.9"
"25","C1","35","414030.72","204768.89"
"25","C1","36","420205.38","204630.89"
"25","C1","37","426849.97","204543.67"
"25","C1","38","433274.75","204832.77"
"25","C1","39","439579.88","204899.89"
"25","C1","40","444870.25","204863.39"
"26","C2","1","143644.73","191228.5"
"26","C2","2","144534.55","191385.12"
"26","C2","3","147371.05","192782.81"
"26","C2","4","148995.9","193761.89"
"26","C2","5","150544.58","194530.75"
"26","C2","6","152270.8","195126.83"
"26","C2","7","153746.28","196037.14"
"26","C2","8","154777.84","196503.45"
"26","C2","9","155487.31","196708.66"
"26","C2","10","156725.19","196618.7"
"26","C2","11","158641.42","196793.61"
"26","C2","12","161163.98","196888.14"
"26","C2","13","165914.22","197239.77"
"26","C2","14","172938.64","197166.75"
"26","C2","15","183116.7","197244.67"
"26","C2","16","196652.64","197263.11"
"26","C2","17","211506.66","197160.47"
"26","C2","18","227848.42","196986.7"
"26","C2","19","243774.52","197065.78"
"26","C2","20","258691.36","196888.08"
"26","C2","21","273837.88","196836.42"
"26","C2","22","288414.84","197070.88"
"26","C2","23","301854.94","197017.14"
"26","C2","24","313755.5","196935.47"
"26","C2","25","325151.2","196898.52"
"26","C2","26","335726.5","196938.12"
"26","C2","27","344589.66","197186.33"
"26","C2","28","353399.78","197153.02"
"26","C2","29","362487.3","197250.11"
"26","C2","30","370580.03","197046.61"
"26","C2","31","378431.75","196911.33"
"26","C2","32","385876.62","197236.66"
"26","C2","33","392770.75","197391.62"
"26","C2","34","399865.8","197252.12"
"26","C2","35","406012.3","197392.94"
"26","C2","36","412128.88","197519.33"
"26","C2","37","419162.12","197437.08"
"26","C2","38","425299.66","197483.83"
"26","C2","39","431598.47","197332.62"
"26","C2","40","437290.88","197393.38"
"27","C3","1","143577.17","190267.19"
"27","C3","2","143734.8","190406.94"
"27","C3","3","145734.27","192011.9"
"27","C3","4","147697.7","192979.58"
"27","C3","5","149242.55","193795.39"
"27","C3","6","150613.08","194520.44"
"27","C3","7","152265.8","194752.9"
"27","C3","8","152976.58","195150.0"
"27","C3","9","153804.02","195681.39"
"27","C3","10","155324.36","195741.02"
"27","C3","11","157334.89","195788.64"
"27","C3","12","160468.8","195820.4"
"27","C3","13","164425.8","195870.53"
"27","C3","14","171312.23","195973.05"
